elec_pres_1;elec_pres_2;zona_u_r;region;bienestar_2;bienestar_3;percepcion_1_a;percepcion_1_b;percepcion_1_c;percepcion_2;percepcion_3;percepcion_5;percepcion_6;percepcion_4;eval_gob_1;iden_pol_3;iden_pol_3_a;iden_pol_2;eval_act_pol_1_p;eval_act_pol_1_co;eval_act_pol_1_gc;eval_act_pol_1_gd;eval_act_pol_1_ge;eval_act_pol_1_dh;eval_act_pol_1_fo;eval_act_pol_1_cp;eval_act_pol_1_gf;eval_act_pol_1_fe;eval_act_pol_1_fh;eval_act_pol_1_fx;eval_act_pol_1_ag;eval_act_pol_1_gg;eval_act_pol_1_gh;eval_act_pol_1_en;eval_act_pol_1_gi;eval_act_pol_1_fy;eval_act_pol_1_dv;eval_act_pol_1_ae;eval_act_pol_1_gj;eval_act_pol_1_gk;eval_act_pol_1_gl;confianza_6_a;confianza_6_c;confianza_6_b;confianza_6_j;confianza_6_d;confianza_6_e;confianza_6_f;confianza_6_n;confianza_6_x;confianza_6_g;confianza_6_h;confianza_6_i;confianza_6_k;confianza_6_s;confianza_6_o;confianza_6_p;confianza_6_r;confianza_6_y;confianza_6_m;confianza_8_a;interes_pol_2_a;interes_pol_2_h;interes_pol_2_c;interes_pol_2_d;interes_pol_2_e;interes_pol_1_b;democracia_21;democracia_20;democracia_34;democracia_19;pobreza_62;pobreza_63;constitucion_4_a;constitucion_4_b;constitucion_4_c;constitucion_5_a;constitucion_5_b;constitucion_5_c;constitucion_5_d;constitucion_6;constitucion_3;interes_pol_23;rol_gobierno_27;estallido_5;ciudadania_29_a;ciudadania_29_b;ciudadania_29_c;ciudadania_29_d;ciudadania_29_e;ciudadania_30_a;ciudadania_30_b;ciudadania_30_d;sexo;edad;info_enc_23;esc_nivel_1;info_enc_56;info_enc_57;info_hogar_28_b;info_hogar_21_n;info_hogar_31;religion_1;religion_2;info_enc_58;info_enc_30;bienestar_21;info_enc_59;info_enc_54;gse;pond;estrato;secu
GABRIEL BORIC;GABRIEL BORIC;URBANA;Región 13;10.- Totalmente satisfecho;8;3.- DELINCUENCIA, ASALTOS, ROBOS;6.- EMPLEO;11.- SUELDOS;3. - NI BUENA NI MALA;2. - NO CAMBIARÁ;2. - MALA;3. - IGUAL;2. - ESTANCADO;2. - DESAPRUEBA;15 Ninguno;77.- NINGUNO (no leer);99.- No contesta (no leer);8. - No Sabe ( no leer );6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;3.- Poca confianza;2.- Bastante confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;2.- Bastante confianza;3.- Poca confianza;3.- Poca confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3.- REGULAR;3.- REGULAR;7;5;7;No;;4.- ME DA LO MISMO (no leer);2.- NO;;10.- NINGUNA (no leer);Por tiempo y trabajo;1.- PRIVILEGIEN LOS ACUERDOS, AUNQUE TENGAN QUE CEDER;1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;3;1.- OBEDECER LAS LEYES SIEMPRE;3.- NO LAS APOYÓ NI LAS RECHAZÓ;1.- SIEMPRE;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;2. - MUJER;38;No;9.- Universitaria completa (carreras 4 o más años) / oficial de FFAA/carabineros;99. - No contesta ( no leer );No responde (no leer);99.- No contesta;9.- No responde (no leer);9.- No responde (no leer);99. - No contesta ( no leer );8.- NUNCA;2.- No;;2.- Les alcanza justo, sin grandes dificultades;En otro País ¿Cuál?;999.- No sabe ( no leer );2. - C2;1.55511124;19;85139
NO SABE / NO CONTESTA;NO SABE / NO CONTESTA;URBANA;Región 8;10.- Totalmente satisfecho;5;3.- DELINCUENCIA, ASALTOS, ROBOS;10.- SALUD;9.- NARCOTRÁFICO;2. - MALA;8. - No sabe ( no leer );3. - NI BUENA NI MALA;8. - No sabe ( no leer );8. - No sabe ( no leer );2. - DESAPRUEBA;15 Ninguno;77.- NINGUNO (no leer);99.- No contesta (no leer);8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );8. - No Sabe ( no leer );4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;3.- NORMALMENTE HAY QUE SER CUIDADOSO;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;5.- NADA INTERESADO;8 No sabe;8 No sabe;8 No sabe;88.- No sabe (no leer);10.- Debería premiarse el esfuerzo individual, aunque se produzcan importantes diferencias de ingresos;4;Si;88.- No sabe (no leer);;2.- NO;;10.- NINGUNA (no leer);No quiso;88.- No sabe (no leer);1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;1.- NADA DISPUESTO;88.- No sabe (no leer);5.- LAS RECHAZÓ;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;2. - MUJER;58;No;8.- Universitaria incompleta (carreras 4 o más años);99. - No contesta ( no leer );No responde (no leer);99.- No contesta;9.- No responde (no leer);9.- No responde (no leer);1. - CATOLICA;8.- NUNCA;1.- Si;5. - MAPUCHE;2.- Les alcanza justo, sin grandes dificultades;En Chile;;4. - D;1.79104929;12;85076
NO SABE / NO CONTESTA;NO SABE / NO CONTESTA;URBANA;Región 8;6;6;1.- PENSIONES;6.- EMPLEO;11.- SUELDOS;3. - NI BUENA NI MALA;2. - NO CAMBIARÁ;3. - NI BUENA NI MALA;3. - IGUAL;2. - ESTANCADO;2. - DESAPRUEBA;99.- No contesta (no leer);99.- No contesta (no leer);99.- No contesta (no leer);9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;5.- NADA INTERESADO;8 No sabe;5.- MUY MAL;4.- MAL;88.- No sabe (no leer);88.- No sabe (no leer);5;Si;1.- APRUEBO;;1.- SI;88.- No sabe (no leer);;-;88.- No sabe (no leer);1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;4;88.- No sabe (no leer);8 No sabe;4.- CASI NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;1. - HOMBRE;37;No;6.- Instituto técnico (CFT) o instituto profesional incompleto (carreras 1 a 3 años);99. - No contesta ( no leer );No responde (no leer);99.- No contesta;9.- No responde (no leer);9.- No responde (no leer);9. - NINGUNA;8.- NUNCA;1.- Si;8. - YÁMANA (YAGÁN);2.- Les alcanza justo, sin grandes dificultades;En Chile;;4. - D;1.98401727;12;85085
NO SABE / NO CONTESTA;SEBASTIAN SICHEL;URBANA;Región 6;5;4;3.- DELINCUENCIA, ASALTOS, ROBOS;2.- CORRUPCIÓN;5.- EDUCACIÓN;5. - MUY BUENA;1. - MEJORARÁ;3. - NI BUENA NI MALA;2. - MEJOR;3. - EN DECADENCIA;2. - DESAPRUEBA;88.- No sabe (no leer);77.- NINGUNO (no leer);88.- No sabe (no leer);2. - Negativa;9. - No contesta ( no leer );9. - No contesta ( no leer );2. - Negativa;9. - No contesta ( no leer );6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );2. - Negativa;9. - No contesta ( no leer );9. - No contesta ( no leer );6. - No conoce a la persona;9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );3. - Ni negativa ni positiva;9. - No contesta ( no leer );9. - No contesta ( no leer );6. - No conoce a la persona;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;2.- Bastante confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- NORMALMENTE HAY QUE SER CUIDADOSO;2.- A veces;2.- A veces;2.- A veces;2.- A veces;2.- A veces;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3.- REGULAR;3.- REGULAR;8;7;6;Si;2.- RECHAZO;;1.- SI;88.- No sabe (no leer);;-;1.- PRIVILEGIEN LOS ACUERDOS, AUNQUE TENGAN QUE CEDER;2.- PROBABLEMENTE DEJE LAS COSAS IGUAL;4;1.- OBEDECER LAS LEYES SIEMPRE;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;4.- CASI NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;4.- CASI NUNCA;5.- NUNCA;5.- NUNCA;1. - HOMBRE;57;No;6.- Instituto técnico (CFT) o instituto profesional incompleto (carreras 1 a 3 años);99. - No contesta ( no leer );No responde (no leer);99.- No contesta;9.- No responde (no leer);9.- No responde (no leer);99. - No contesta ( no leer );88.- No sabe (no leer);2.- No;;2.- Les alcanza justo, sin grandes dificultades;En Chile;;3. - C3;.95891775;8;85057
NO SABE / NO CONTESTA;NO SABE / NO CONTESTA;URBANA;Región 8;7;6;25 Pandemia por COVID-19;1.- PENSIONES;6.- EMPLEO;4. - BUENA;2. - NO CAMBIARÁ;3. - NI BUENA NI MALA;3. - IGUAL;2. - ESTANCADO;1. - APRUEBA;15 Ninguno;77.- NINGUNO (no leer);88.- No sabe (no leer);4. - Positiva;2. - Negativa;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;3. - Ni negativa ni positiva;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;3. - Ni negativa ni positiva;4. - Positiva;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;3. - Ni negativa ni positiva;6. - No conoce a la persona;8. - No Sabe ( no leer );6. - No conoce a la persona;8. - No Sabe ( no leer );6. - No conoce a la persona;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;2.- Bastante confianza;3.- Poca confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;2.- A veces;3.- Nunca;3.- Nunca;3.- Nunca;2.- A veces;4.- NO MUY INTERESADO;8 No sabe;3.- REGULAR;3.- REGULAR;99.- No responde (no leer);8;8;No;;99.- No responde (no leer);2.- NO;;10.- NINGUNA (no leer);Para prevenir contagio de covid;1.- PRIVILEGIEN LOS ACUERDOS, AUNQUE TENGAN QUE CEDER;1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;3;88.- No sabe (no leer);5.- LAS RECHAZÓ;3.- A VECES;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;2.- CASI SIEMPRE;2.- CASI SIEMPRE;2.- CASI SIEMPRE;1. - HOMBRE;34;No;5.- Media científico humanista o media técnico profesional completa / humanidades completa;99. - No contesta ( no leer );No responde (no leer);99.- No contesta;9.- No responde (no leer);9.- No responde (no leer);9. - NINGUNA;8.- NUNCA;2.- No;;2.- Les alcanza justo, sin grandes dificultades;En Chile;;4. - D;1.83350561;12;85071
NO SABE / NO CONTESTA;NO SABE / NO CONTESTA;URBANA;Región 11;5;88.- No sabe (no leer);7.- POBREZA;3.- DELINCUENCIA, ASALTOS, ROBOS;1.- PENSIONES;2. - MALA;2. - NO CAMBIARÁ;3. - NI BUENA NI MALA;3. - IGUAL;3. - EN DECADENCIA;2. - DESAPRUEBA;15 Ninguno;88.- No sabe (no leer);88.- No sabe (no leer);2. - Negativa;4. - Positiva;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;4. - Positiva;3. - Ni negativa ni positiva;2. - Negativa;6. - No conoce a la persona;2. - Negativa;2. - Negativa;3. - Ni negativa ni positiva;8. - No Sabe ( no leer );6. - No conoce a la persona;1. - Muy Negativa;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;1.- Mucha confianza;4.- Nada de confianza;88 No sabe;88 No sabe;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;3.- Poca confianza;4.- Nada de confianza;1.- Mucha confianza;4.- Nada de confianza;2.- Bastante confianza;3.- NORMALMENTE HAY QUE SER CUIDADOSO;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;4.- MAL;3.- REGULAR;6;5;8;Si;99.- No responde (no leer);;1.- SI;99.- No responde (no leer);;-;2.- DEFIENDAN SUS POSICIONES, AUNQUE ESO IMPLIQUE NO LLEGAR A ACUERDOS;2.- PROBABLEMENTE DEJE LAS COSAS IGUAL;2;88.- No sabe (no leer);3.- NO LAS APOYÓ NI LAS RECHAZÓ;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;2. - MUJER;27;No;8.- Universitaria incompleta (carreras 4 o más años);99. - No contesta ( no leer );No responde (no leer);99.- No contesta;9.- No responde (no leer);9.- No responde (no leer);9. - NINGUNA;8.- NUNCA;2.- No;;2.- Les alcanza justo, sin grandes dificultades;En Chile;;3. - C3;.40882273;18;85106
Otros;GABRIEL BORIC;URBANA;Región 13;7;5;1.- PENSIONES;2.- CORRUPCIÓN;9.- NARCOTRÁFICO;2. - MALA;1. - MEJORARÁ;3. - NI BUENA NI MALA;4. - PEOR;2. - ESTANCADO;2. - DESAPRUEBA;15 Ninguno;77.- NINGUNO (no leer);88.- No sabe (no leer);2. - Negativa;4. - Positiva;6. - No conoce a la persona;2. - Negativa;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;4. - Positiva;2. - Negativa;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;6. - No conoce a la persona;6. - No conoce a la persona;4. - Positiva;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;6. - No conoce a la persona;2. - Negativa;6. - No conoce a la persona;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;3.- Poca confianza;1.- Mucha confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- Nunca;2.- A veces;3.- Nunca;2.- A veces;2.- A veces;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3.- REGULAR;3.- REGULAR;10.- Que haya orden público y seguridad ciudadana;1.- Los ingresos deberían hacerse más iguales, aunque no se premie el esfuerzo individual;5;No;;1.- APRUEBO;2.- NO;;99.- No responde (no leer);Por que tenia que viajar a valparaiso a votar y no estaba la situacion economica no esta para viajar;1.- PRIVILEGIEN LOS ACUERDOS, AUNQUE TENGAN QUE CEDER;1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;1.- NADA DISPUESTO;2.- NO OBEDECER SI SE CONSIDERA QUE LA LEY ES INJUSTA;5.- LAS RECHAZÓ;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;2. - MUJER;61;No;3.- Básica completa / primaria o preparatoria completa;99. - No contesta ( no leer );No responde (no leer);99.- No contesta;9.- No responde (no leer);9.- No responde (no leer);9. - NINGUNA;8.- NUNCA;2.- No;;4.- No les alcanza, tienen grandes dificultades;En Chile;;3. - C3;.3429157;19;85125
NO SABE / NO CONTESTA;NINGUNO;URBANA;Región 13;7;4;10.- SALUD;7.- POBREZA;6.- EMPLEO;2. - MALA;2. - NO CAMBIARÁ;3. - NI BUENA NI MALA;4. - PEOR;8. - No sabe ( no leer );8. - No sabe ( no leer );99.- No contesta (no leer);99.- No contesta (no leer);99.- No contesta (no leer);9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );9. - No contesta ( no leer );88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;88 No sabe;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;8.- No sabe (no leer);8.- No sabe (no leer);8.- No sabe (no leer);8.- No sabe (no leer);8.- No sabe (no leer);5.- NADA INTERESADO;8 No sabe;8 No sabe;8 No sabe;99.- No responde (no leer);99.- No responde (no leer);99.- No responde (no leer);99.- No responde (no leer);;99.- No responde (no leer);99.- No responde (no leer);;88.- No sabe (no leer);-;99.- No responde (no leer);99.- No responde (no leer);99.- No responde (no leer);99.- No responde (no leer);9 No constesta;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;1. - HOMBRE;57;No;99.- No contesta;99. - No contesta ( no leer );No responde (no leer);99.- No contesta;9.- No responde (no leer);9.- No responde (no leer);99. - No contesta ( no leer );88.- No sabe (no leer);2.- No;;4.- No les alcanza, tienen grandes dificultades;En Chile;;4. - D;.88796243;19;85138
NO SABE / NO CONTESTA;NO SABE / NO CONTESTA;URBANA;Región 13;7;6;1.- PENSIONES;2.- CORRUPCIÓN;10.- SALUD;4. - BUENA;2. - NO CAMBIARÁ;4. - BUENA;4. - PEOR;2. - ESTANCADO;2. - DESAPRUEBA;15 Ninguno;77.- NINGUNO (no leer);4;4. - Positiva;5. - Muy Positiva;4. - Positiva;4. - Positiva;2. - Negativa;3. - Ni negativa ni positiva;1. - Muy Negativa;4. - Positiva;4. - Positiva;2. - Negativa;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;4. - Positiva;2. - Negativa;4. - Positiva;3. - Ni negativa ni positiva;4. - Positiva;3. - Ni negativa ni positiva;4. - Positiva;4. - Positiva;4. - Positiva;2. - Negativa;3. - Ni negativa ni positiva;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;99 No contesta;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;3.- Nunca;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;2.- BIEN;3.- REGULAR;7;5;7;Si;1.- APRUEBO;;1.- SI;4.- APRUEBO DIGNIDAD (PC, RD, COMUNES, CONVERGENCIA SOCIAL, FRVS, PARTIDO IGUALDAD);;-;1.- PRIVILEGIEN LOS ACUERDOS, AUNQUE TENGAN QUE CEDER;1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;5;1.- OBEDECER LAS LEYES SIEMPRE;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;3.- A VECES;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;3.- A VECES;3.- A VECES;4.- CASI NUNCA;1. - HOMBRE;64;No;5.- Media científico humanista o media técnico profesional completa / humanidades completa;99. - No contesta ( no leer );No responde (no leer);99.- No contesta;9.- No responde (no leer);9.- No responde (no leer);9. - NINGUNA;8.- NUNCA;2.- No;;2.- Les alcanza justo, sin grandes dificultades;En Chile;;3. - C3;.71412852;19;85150
Otros;SEBASTIAN SICHEL;URBANA;Región 13;9;7;1.- PENSIONES;3.- DELINCUENCIA, ASALTOS, ROBOS;10.- SALUD;2. - MALA;2. - NO CAMBIARÁ;3. - NI BUENA NI MALA;2. - MEJOR;2. - ESTANCADO;2. - DESAPRUEBA;15 Ninguno;77.- NINGUNO (no leer);99.- No contesta (no leer);2. - Negativa;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;2. - Negativa;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;2. - Negativa;3. - Ni negativa ni positiva;3. - Ni negativa ni positiva;6. - No conoce a la persona;6. - No conoce a la persona;5. - Muy Positiva;6. - No conoce a la persona;6. - No conoce a la persona;2. - Negativa;6. - No conoce a la persona;3. - Ni negativa ni positiva;6. - No conoce a la persona;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;4.- Nada de confianza;2.- Bastante confianza;4.- Nada de confianza;3.- Poca confianza;4.- Nada de confianza;4.- Nada de confianza;4.- Nada de confianza;2.- Bastante confianza;2.- Bastante confianza;2.- Bastante confianza;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;3.- Nunca;3.- Nunca;3.- Nunca;2.- A veces;2.- A veces;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3.- REGULAR;3.- REGULAR;7;7;4;No;;1.- APRUEBO;2.- NO;;88.- No sabe (no leer);Porque tenía el carnet vencido;2.- DEFIENDAN SUS POSICIONES, AUNQUE ESO IMPLIQUE NO LLEGAR A ACUERDOS;1.- PROBABLEMENTE AYUDE A RESOLVER LOS PROBLEMAS;6;1.- OBEDECER LAS LEYES SIEMPRE;2.- INICIALMENTE LAS RECHAZÓ, PERO DESPUÉS LAS APOYÓ;2.- CASI SIEMPRE;3.- A VECES;5.- NUNCA;5.- NUNCA;5.- NUNCA;5.- NUNCA;3.- A VECES;3.- A VECES;2. - MUJER;23;No;7.- Instituto técnico (CFT) o instituto profesional completo (carreras 1 a 3 años) / hasta suboficial de FFAA/carabine;99. - No contesta ( no leer );No responde (no leer);99.- No contesta;9.- No responde (no leer);9.- No responde (no leer);3. - TESTIGO DE JEHOVA;8.- NUNCA;2.- No;;3.- No les alcanza, tienen algunas dificultades;En Chile;;4. - D;1.32924803;19;85154
