zona_u_r;eval_gob_1;iden_pol_2;confianza_8_a;interes_pol_1_b;democracia_21;democracia_19;constitucion_4_a;constitucion_4_b;estallido_5;sexo;edad;bienestar_21;gse
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;7;No;;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;38;2.- Les alcanza justo, sin grandes dificultades;2. - C2
URBANA;2. - DESAPRUEBA;;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;;;Si;;5.- LAS RECHAZÓ;2. - MUJER;58;2.- Les alcanza justo, sin grandes dificultades;4. - D
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;;;Si;1.- APRUEBO;;1. - HOMBRE;37;2.- Les alcanza justo, sin grandes dificultades;4. - D
URBANA;2. - DESAPRUEBA;;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;8;Si;2.- RECHAZO;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;1. - HOMBRE;57;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;1. - APRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;;;No;;5.- LAS RECHAZÓ;1. - HOMBRE;34;2.- Les alcanza justo, sin grandes dificultades;4. - D
URBANA;2. - DESAPRUEBA;;3.- NORMALMENTE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;6;Si;;3.- NO LAS APOYÓ NI LAS RECHAZÓ;2. - MUJER;27;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;10.- Que haya orden público y seguridad ciudadana;No;;5.- LAS RECHAZÓ;2. - MUJER;61;4.- No les alcanza, tienen grandes dificultades;3. - C3
URBANA;;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;;;;;9 No constesta;1. - HOMBRE;57;4.- No les alcanza, tienen grandes dificultades;4. - D
URBANA;2. - DESAPRUEBA;4;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;4.- NO MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;7;Si;1.- APRUEBO;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;1. - HOMBRE;64;2.- Les alcanza justo, sin grandes dificultades;3. - C3
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;7;No;;2.- INICIALMENTE LAS RECHAZÓ, PERO DESPUÉS LAS APOYÓ;2. - MUJER;23;3.- No les alcanza, tienen algunas dificultades;4. - D
URBANA;2. - DESAPRUEBA;;4.- CASI SIEMPRE HAY QUE SER CUIDADOSO;5.- NADA INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;3;Si;;4.- INICIALMENTE LAS APOYÓ, PERO DESPUÉS LAS RECHAZÓ;2. - MUJER;59;3.- No les alcanza, tienen algunas dificultades;3. - C3
URBANA;2. - DESAPRUEBA;4;2.- NORMALMENTE SE PUEDE CONFIAR EN LA GENTE;1.- MUY INTERESADO;1.- LA DEMOCRACIA ES PREFERIBLE A CUALQUIER OTRA FORMA DE GOBIERNO;5;No;;1.- LAS APOYÓ;1. - HOMBRE;68;2.- Les alcanza justo, sin grandes dificultades;1. - ABC1
